                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.7746,                 2.4211,                 2.1587,                0.41182,                0.30219,                0.31702,                0.15214,                 1.9925,                 2.5271,                 2.4899,              0.0010871,              0.0010871,              0.0010871
                     81,                 1.7616,                 2.3489,                 2.1357,                 0.3892,                 0.3199,                0.30309,                0.13546,                  2.043,                 2.7221,                 2.5413,               0.001085,               0.001085,               0.001085
                     82,                 1.7738,                 2.3581,                 2.1396,                0.45569,                0.32561,                0.33232,                0.14541,                 1.9284,                 2.6786,                 2.4753,              0.0010829,              0.0010829,              0.0010829
                     83,                 1.8122,                 2.4052,                 2.1764,                0.37804,                  0.392,                0.33825,                0.14827,                 2.0439,                 2.5621,                  2.548,              0.0010809,              0.0010809,              0.0010809
                     84,                 1.7718,                 2.3525,                 2.1307,                0.38722,                0.34424,                0.30181,                0.12708,                 2.0035,                 2.6425,                 2.5121,              0.0010788,              0.0010788,              0.0010788
                     85,                   1.77,                 2.3054,                 2.1415,                0.42368,                0.33571,                0.38004,                0.16545,                 1.9517,                 2.5175,                 2.4232,              0.0010768,              0.0010768,              0.0010768
                     86,                   1.72,                 2.3302,                 2.1177,                0.49471,                0.27832,                 0.3358,                0.15638,                 1.9742,                 2.5908,                 2.4341,              0.0010747,              0.0010747,              0.0010747
                     87,                 1.7046,                 2.2226,                 2.0905,                0.42567,                 0.4696,                0.39769,                0.16982,                 1.9296,                 2.3444,                 2.4061,              0.0010726,              0.0010726,              0.0010726
                     88,                 1.7478,                 2.1968,                  2.097,                0.40988,                0.40244,                0.36182,                0.16162,                 1.9584,                 2.5086,                 2.4397,              0.0010706,              0.0010706,              0.0010706
                     89,                 1.7484,                  2.268,                 2.0939,                0.41713,                0.36383,                0.33768,                0.14171,                  2.005,                 2.5368,                 2.4824,              0.0010685,              0.0010685,              0.0010685
                     90,                 1.7158,                 2.2284,                 2.0772,                0.45177,                0.36312,                0.40134,                0.18595,                 1.9284,                 2.2997,                 2.4177,              0.0010664,              0.0010664,              0.0010664
                     91,                 1.7192,                 2.1979,                 2.0944,                0.38442,                 0.3529,                0.35053,                0.16017,                 1.9552,                 2.5547,                 2.4561,              0.0010644,              0.0010644,              0.0010644
                     92,                 1.7212,                 2.2496,                 2.0972,                0.45172,                 0.3581,                0.32178,                0.15218,                 1.9494,                  2.571,                 2.4896,              0.0010623,              0.0010623,              0.0010623
                     93,                 1.7261,                 2.2054,                 2.0865,                0.47751,                0.39345,                0.36227,                0.15631,                 1.9805,                 2.4499,                 2.4908,              0.0010603,              0.0010603,              0.0010603
                     94,                 1.6968,                 2.1996,                 2.0625,                0.40548,                 0.3816,                0.32906,                0.13761,                 2.0098,                  2.472,                 2.5141,              0.0010582,              0.0010582,              0.0010582
                     95,                 1.7028,                 2.1918,                 2.0726,                0.41101,                0.34108,                0.31775,                0.14831,                 1.9948,                 2.6151,                 2.5246,              0.0010561,              0.0010561,              0.0010561
                     96,                 1.7425,                 2.1216,                 2.1249,                0.47936,                0.40851,                0.36944,                0.16174,                 1.9908,                 2.3816,                 2.5038,              0.0010541,              0.0010541,              0.0010541
                     97,                 1.7232,                 2.1753,                 2.1148,                0.37768,                0.37384,                0.34445,                0.15589,                 2.0008,                 2.5199,                 2.5075,               0.001052,               0.001052,               0.001052
                     98,                 1.7072,                 2.1782,                 2.0505,                0.47056,                0.35718,                0.36137,                0.16406,                 1.9306,                 2.4017,                 2.4495,              0.0010499,              0.0010499,              0.0010499
                     99,                 1.6539,                 2.0547,                 2.0305,                 0.4613,                0.37675,                 0.3663,                0.16439,                 1.9831,                 2.3205,                 2.5047,              0.0010479,              0.0010479,              0.0010479
                    100,                 1.6702,                 2.0438,                 2.0627,                0.48229,                0.36806,                0.35556,                0.15501,                 1.9719,                 2.7141,                 2.4813,              0.0010458,              0.0010458,              0.0010458
